polygon_type,algo,norm_dlength_mean,norm_dlength_std,norm_max_dlength_mean,norm_max_dlength_std,norm_min_dlength_mean,norm_min_dlength_std
convex,ear_clipping,11.152408516045611,5.7834214959675245,16.842345267055308,9.073652551128617,1.5377047898622902,0.6219114369970978
convex,optimal_maximin,11.876653154342456,5.960695408844615,16.76834576637617,9.04658773383076,3.869053793118992,0.9705871383947478
convex,optimal_minimax,7.843873955031685,3.9634538490292943,13.921998397429425,7.696066487858756,1.2616956313887568,0.48633872239316217
convex,optimal_minsum,3.5080203250984483,0.9727492241127621,14.962247818739733,8.444402244247668,0.5337111173390874,0.26842230483688156
random,ear_clipping,1.339779513263214,0.2286143602974927,3.3966255992455108,1.013974456372597,0.2318749632658594,0.24670041000123025
random,optimal_maximin,1.5022816848968779,0.28119043637391744,3.681130980750612,1.084860299465286,0.28936225416246303,0.3011698109146107
random,optimal_minimax,1.0200143917292988,0.15604273141551353,2.148538266511163,0.6036404615352939,0.21625457345142846,0.2309692711053408
random,optimal_minsum,0.9134334147794158,0.14211913943669324,2.1544338937165186,0.6048262819419274,0.21133063813168187,0.22518552329130553
star_shaped,ear_clipping,1.2578862439455452,0.3216630145593883,2.704871411836765,0.5932337571723668,0.27771299803367383,0.3221579980012719
star_shaped,optimal_maximin,1.6989867485400076,0.38038955573435135,4.160260181502486,1.1113755955502902,0.4446049292676696,0.46554059465385783
star_shaped,optimal_minimax,0.9910154345375836,0.2182109516580009,1.8739677444162834,0.3340327556703301,0.24805143034829769,0.26027193834489
star_shaped,optimal_minsum,0.9234021775300814,0.22408635115323602,1.8809327245006922,0.3367856453195035,0.2453629188962533,0.2563484851164757
